status,in_out,log_in,log_out,log_in_t,log_out_t,sum_b100_out,sum_b500_out,sum_b1k_out,sum_a1k_out,avg_b100_out,avg_b500_out,avg_b1k_out,avg_a1k_out,sum_b500_in,sum_b1k_in,sum_b5k_in,sum_b10k_in,sum_a10k_in,avg_b500_in,avg_b1k_in,avg_b5k_in,avg_b10k_in,avg_a10k_in
1,0.233802817,5.098428948,5.100115408,1.919078092,2.550228353,8.66733585,11.15001685,10.99763991,11.44035477,3.896651225,5.442906582,6.261441462,7.362817328,7.863062857,9.909470618,12.07858404,10.07330754,NaN,4.867330584,6.383110094,7.635932788,8.687013178,NaN
1,0.276595745,3.971136629,3.975316901,1.113943352,1.672097858,6.921658184,8.22510141,7.901007052,7.60090246,3.786163968,5.391888066,6.29156914,6.907755279,6.629363253,7.090076836,8.909235279,NaN,NaN,4.683453104,6.396929655,7.522940918,NaN,NaN
1,0.632530121,4.974853237,4.978374102,2.021189299,2.220108088,7.100027167,10.08044181,9.252139489,10.99594796,4.008984713,5.389093932,6.361767731,8.162734613,9.378985498,8.959954084,10.60294453,9.372884301,10.03161688,5.130490256,6.320896755,7.76973119,8.679737121,9.3384697
0,0.487410072,5.591433678,5.593145807,2.432969291,2.745074792,8.813512852,10.29834661,10.86764783,12.6215334,3.763656845,5.281066778,6.262477648,7.617587091,9.842758832,10.23666867,12.14363325,10.99641706,11.47260335,5.227638315,6.365467654,7.480194159,8.598521785,9.863165433
1,0.756097561,5.236644411,5.235836434,2.093421685,2.214843848,7.381501895,9.167116537,9.411463238,11.90976212,3.770583982,5.360454047,6.467024259,7.766627395,9.053569596,9.303830715,11.77423949,10.04542105,NaN,5.203421994,6.413458957,7.766906301,8.659126687,NaN
1,0.429824561,4.955754549,4.955749884,1.991226076,2.357934847,8.094714164,9.905198089,9.578713327,10.86947794,3.832034287,5.26080719,6.320616789,7.573641074,9.178341836,8.870495856,10.94073849,9.745722014,NaN,5.189357789,6.385589206,7.57344266,8.647109725,NaN
1,0.664615385,5.86414058,5.851659806,2.334453751,2.511883361,7.993832666,9.386842529,9.69617798,13.42912467,3.968480976,5.455016896,6.605135526,8.151010009,9.451794458,9.154193211,12.30378199,12.28484385,12.51455317,5.444461272,6.381604489,7.760487208,8.758483328,9.681339829
1,0.392857143,4.409882425,4.419791908,1.51851394,1.924279286,7.564388879,8.835418533,8.123910575,9.554934536,3.850816812,5.503214023,6.332151105,7.357709959,8.173857455,7.649692624,9.905984433,NaN,NaN,5.283485697,6.263398263,7.50808916,NaN,NaN
0,0.571428571,4.980886978,4.98112581,2.235528447,2.478566496,8.268388183,10.5191058,9.306104994,10.68801607,3.849547576,5.342956068,6.415733236,7.552521853,9.907305256,9.568993358,10.4838579,10.14917507,NaN,5.08702369,6.350117533,7.539418916,8.762880707,NaN
0,0.972727273,4.924834724,4.924834724,2.029383778,2.041392685,6.864325721,8.966228514,9.607101039,11.00851257,3.728831505,5.355310602,6.311264173,8.012780295,9.164453489,9.558882333,10.72295897,9.61580548,NaN,5.053579625,6.300785795,7.832587209,8.9226583,NaN
0,0.248407643,5.699333782,5.699573298,2.369215857,2.974050903,9.271012052,11.51525026,11.346741,12.62855153,3.881940322,5.428475534,6.376927703,7.694077595,9.370842269,10.05625113,12.29907562,11.53872965,11.87248624,5.108162392,6.392689482,7.714108142,8.648357897,9.793044699
0,0.390041494,5.33798782,5.343282147,2.274157849,2.683047038,8.21470065,10.90949046,11.10454812,11.46766834,3.980594145,5.454169346,6.276234383,7.478684291,9.891975037,9.636617402,11.7006354,9.851299121,10.67004782,5.307007558,6.378520864,7.623097951,8.752686832,9.97690064
1,0.443231441,5.155048366,5.163085963,2.307496038,2.660865478,9.19964033,10.54863522,9.806240148,11.28236888,3.911373299,5.22075905,6.587364323,7.91507305,10.24822128,10.04975006,10.81386141,10.12862911,9.727227587,5.335566397,6.494401998,7.481656904,9.030016818,9.727227587
1,0.341666667,4.473718727,4.475864181,1.612783857,2.079181246,7.38395219,9.334149658,7.783224016,9.587772879,3.670380123,5.114641953,6.396929655,7.64186273,8.438340442,8.188689124,9.97789905,NaN,NaN,5.142503576,6.396929655,7.898457508,NaN,NaN
0,0.199124727,5.193917297,5.198259718,1.959041392,2.6599162,9.327589932,10.06086943,9.799237531,11.56345364,3.707189066,5.397430341,6.39804015,7.756791152,8.798605651,9.395989719,10.71441777,10.32548196,11.03682328,5.135044005,6.351467281,7.578923553,8.71604405,9.938210989
1,0.259786477,5.297289029,5.291533523,2.164352856,2.749736316,9.387656925,10.61369512,9.261158954,11.79452281,3.731665114,5.23379777,6.42794561,8.056853195,9.514141826,9.389891428,11.28933069,10.02867599,11.15820105,5.144693974,6.34536899,7.600451233,8.930063701,10.05958876
1,0.284722222,5.17364495,5.17364495,2.089905111,2.635483747,9.137172727,10.22192092,10.07846219,11.36255724,3.794838475,5.287446987,6.467544274,7.601357124,9.500648992,9.393245092,10.81540976,9.104979856,11.08214255,5.237969115,6.397512818,7.557313218,9.104979856,9.472704636
1,0.579365079,4.708225381,4.710252458,1.86332286,2.100370545,7.630461262,9.128907949,8.939974177,10.38613004,3.892791644,5.085856681,6.455067528,7.678079835,9.038602609,8.44569719,10.34174248,8.853665428,NaN,5.146782311,6.499787041,7.569153761,8.853665428,NaN
1,0.471048513,5.710325446,5.710927537,2.478566496,2.805500858,9.080687164,10.86540153,10.52543407,12.92933973,3.980820736,5.266979575,6.366550986,8.038990605,9.871008265,9.695786647,11.61130366,12.01339768,12.21547827,4.71771667,6.363582137,7.58595197,8.646101847,9.817583001
1,0.362831858,4.446150075,4.446427958,1.612783857,2.053078443,8.074496511,8.706654202,7.932171899,9.674891664,3.854988805,5.21014664,6.545877538,7.595450123,7.856191755,8.006367568,9.143452426,9.472704636,NaN,4.523987245,6.214608098,7.757158065,8.779557456,NaN
0,0.596816976,5.411235219,5.412714347,2.653212514,2.877371346,9.079776002,11.23458628,10.10204452,11.91691135,3.864840244,5.107717094,6.413165062,7.640245227,10.67917486,10.09286747,11.69099633,10.35733004,10.57597274,4.871032368,6.455281314,7.442501092,8.565570572,9.477360448
0,0.55952381,4.390605377,4.390599547,1.672097858,1.924279286,6.240275845,9.381179592,8.854379459,8.556413905,3.937690752,5.303642148,6.289430101,7.863266724,8.931727714,8.320691571,8.97525075,8.517193191,NaN,5.40536719,6.374781422,7.365812837,8.517193191,NaN
0,0.436532508,5.10976552,5.173925746,2.149219113,2.509202522,7.968914891,10.50416713,10.10357044,11.33235661,3.841780506,5.311210283,6.492652526,8.154302781,9.560029874,8.941957532,10.52253061,10.23207162,10.49127422,4.954859688,6.377008175,7.478008169,8.845777255,9.798127037
1,0.206896552,3.812445403,3.907182328,0.77815125,1.462397998,6.241911933,7.588323677,6.684611728,8.473638299,3.533861732,5.285738584,6.684611728,7.375026011,6.200509174,NaN,8.699514748,NaN,NaN,4.814214813,NaN,8.006367568,NaN,NaN
0,0.542372881,5.741485428,5.741485263,2.584331224,2.850033258,8.935358641,11.21798565,10.90075145,12.93547798,3.891933524,5.443434107,6.469934653,7.972633352,10.33536087,10.55901074,12.34953166,11.71096452,11.77023853,5.241610673,6.415876018,7.466729736,8.76652554,9.824328383
0,0.893333333,4.672280131,4.671315423,1.826074803,1.875061263,6.933793328,8.521981708,8.40204942,10.50256661,3.601588817,5.26388517,6.610289951,7.794516406,8.893398373,8.907883014,10.19088208,8.645938147,NaN,5.309879434,6.605297921,7.19514981,8.645938147,NaN
0,0.518716578,5.060185259,5.060185259,1.986771734,2.271841607,7.358633427,9.855199737,10.14058529,11.14021071,3.803285365,5.511394315,6.585237228,7.706223507,9.330285513,9.481511892,10.724918,10.71441777,NaN,5.480137911,6.436989455,7.589423787,8.9226583,NaN
1,0.420903955,4.8991666,4.909985084,2.173186268,2.549003262,9.083075021,9.70856696,8.691526258,10.82107744,3.680397639,5.144218769,6.388941165,7.562980902,9.486496778,8.766082459,10.48570317,10.08108966,NaN,4.795148896,6.281175809,7.307649342,8.694795296,NaN
1,0.146391753,5.270146039,5.269924302,1.851258349,2.685741739,9.341131764,10.36670288,9.695587846,11.70929283,3.79595432,5.254715092,6.56009363,8.09837492,8.630075348,7.090076836,11.04605293,10.21348747,11.4019939,5.04655641,6.396929655,7.955010475,8.604049556,9.792555992
1,0.317708333,4.779854683,4.791897293,1.785329835,2.283301229,8.195885391,9.61427097,8.769793015,10.51432918,3.707249022,5.270465548,6.572568438,7.875271846,8.175829009,9.075894275,10.66596721,8.517193191,NaN,4.956953184,6.436836946,7.775595456,8.517193191,NaN
0,0.672727273,5.123854906,5.127592911,1.568201724,1.740362689,6.426488457,8.266583372,8.561412927,11.73137803,3.787431128,5.376211614,6.481971385,9.02332783,8.12474302,8.323122888,9.048527076,8.517193191,11.62625415,5.234371262,6.377212739,7.662232715,8.517193191,9.680344001
0,0.781746032,5.114784401,5.113220185,2.294466226,2.401400541,8.316747582,9.588974049,9.855714371,11.42978296,3.643918747,5.461839663,6.488418541,7.440798911,9.669788487,8.980927208,11.52158784,8.517193191,NaN,4.857604132,6.341869878,7.461144828,8.517193191,NaN
